Generation;Year;Odometer;CarType;Color;EngineVolume;Horsepower;OilType;Box;Drive;Wheel;State;Customs;CarClass;NumberTransmissions;FrontSuspensionType;RearSuspensionType;FrontBrakes;RearBrakes;MaxSpeed;AccelerationTo100;FuelGrade;TypeSupercharger;NumberCylinders;ValvesPerCylinder;Price
IX (XV80) China Market;2024;35;седан;белый;2.0;173;бензин;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;;аи-92;нет;4;4;4500000
VII (XV50);2012;164639;седан;серебристый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1669000
VIII (XV70);2018;115000;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;6;независимая, пружинная;независимая, пружинная;дисковые;дисковые;210;9.9;аи-95;нет;4;4;3000000
VI (XV40);2006;328000;седан;зелёный;2.4;167;бензин;механическая;передний;левый;не требует ремонта;растаможен;e;5;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.1;аи-95;нет;4;4;650000
VII (XV50) Рестайлинг;2014;157300;седан;серебристый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1870000
VIII (XV70) Рестайлинг;2021;71000;седан;коричневый;2.5;200;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;8.7;аи-92;нет;4;4;2200000
VII (XV50) Рестайлинг 2;2018;144000;седан;белый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;2399999
VII (XV50);2012;252000;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1250000
VII (XV50) Рестайлинг 2;2017;98447;седан;белый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;2500000
VII (XV50);2013;234000;седан;серебристый;2.0;148;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;4;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;190;12.5;аи-95;нет;4;4;1190001
VII (XV50);2013;282000;седан;белый;2.0;148;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;4;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;190;12.5;аи-95;нет;4;4;1000000
IX (XV80);2024;1;седан;чёрный;2.5;230;гибрид;вариатор;передний;левый;не требует ремонта;растаможен;d;;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;180;7.2;аи-95;нет;4;4;4270000
VII (XV50) Рестайлинг 2;2017;155000;седан;белый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1689999
VII (XV50);2013;172000;седан;белый;2.0;148;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;4;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;190;12.5;аи-95;нет;4;4;1350000
VII (XV50) Рестайлинг;2017;124000;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;2050000
VIII (XV70);2018;131257;седан;чёрный;2.5;206;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые;дисковые;;9.0;аи-95;нет;4;4;2349000
VII (XV50) Рестайлинг;2017;148000;седан;белый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1800000
VI (XV40);2008;193000;седан;серый;2.4;167;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;5;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;9.3;аи-95;нет;4;4;699999
VI (XV40);2006;320000;седан;белый;3.5;277;оборудование;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;230;6.8;аи-95;нет;6;4;700000
VI (XV40);2007;230600;седан;чёрный;2.4;167;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;5;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;9.3;аи-95;нет;4;4;1080000
VIII (XV70);2019;108000;седан;белый;2.0;150;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;6;независимая, пружинная;независимая, пружинная;дисковые;дисковые;210;11.0;аи-95;нет;4;4;2150000
VII (XV50);2011;181000;седан;белый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1350000
VI (XV40) Рестайлинг;2011;105000;седан;серебристый;2.4;167;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;5;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;9.3;аи-95;нет;4;4;1250000
VIII (XV70);2019;110000;седан;белый;2.0;150;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;6;независимая, пружинная;независимая, пружинная;дисковые;дисковые;210;11.0;аи-95;нет;4;4;1999999
VII (XV50) Рестайлинг;2017;90000;седан;белый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1800000
VI (XV40);2006;267000;седан;чёрный;2.4;167;бензин;механическая;передний;левый;не требует ремонта;растаможен;e;5;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.1;аи-95;нет;4;4;890000
VII (XV50) Рестайлинг;2016;170000;седан;чёрный;3.5;249;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;7.1;аи-95;нет;6;4;1529000
V (XV30);2003;221743;седан;белый;2.4;159;бензин;автоматическая;передний;правый;не требует ремонта;растаможен;e;4;независимая, пружинная;независимая, пружинная;дисковые;дисковые;205;9.3;аи-92;нет;4;4;550000
VIII (XV70);2019;38300;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;6;независимая, пружинная;независимая, пружинная;дисковые;дисковые;210;9.9;аи-95;нет;4;4;2654321
VIII (XV70);2020;328000;седан;серебристый;2.0;150;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;6;независимая, пружинная;независимая, пружинная;дисковые;дисковые;210;11.0;аи-95;нет;4;4;1600000
VI (XV40);2008;327634;седан;чёрный;2.4;167;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;5;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;9.3;аи-95;нет;4;4;870000
VIII (XV70);2020;249000;седан;белый;2.5;206;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые;дисковые;;9.0;аи-95;нет;4;4;1900000
VI (XV40) Рестайлинг;2011;209800;седан;чёрный;2.4;167;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;5;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;9.3;аи-95;нет;4;4;980000
VII (XV50) Рестайлинг 2;2017;135300;седан;белый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1820000
VI (XV40);2007;234000;седан;серебристый;2.4;167;бензин;механическая;передний;левый;не требует ремонта;растаможен;e;5;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.1;аи-95;нет;4;4;800000
VI (XV40);2008;146000;седан;белый;2.4;158;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;5;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;9.3;аи-95;нет;4;4;1030000
VIII (XV70);2019;150000;седан;белый;2.0;150;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;6;независимая, пружинная;независимая, пружинная;дисковые;дисковые;210;11.0;аи-95;нет;4;4;1900000
VI (XV40) Рестайлинг;2010;261000;седан;белый;3.5;277;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;230;6.8;аи-95;нет;6;4;1300000
VI (XV40);2007;17500;седан;чёрный;3.5;277;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;230;6.8;аи-95;нет;6;4;680000
VII (XV50) Рестайлинг 2;2017;170000;седан;белый;2.0;150;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;10.4;аи-95;нет;4;4;1650000
VI (XV40);2009;287606;седан;чёрный;3.5;277;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;230;6.8;аи-95;нет;6;4;989000
V (XV30) Рестайлинг;2004;300000;седан;серый;3.0;186;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;4;независимая, пружинная;независимая, пружинная;дисковые;дисковые;225;9.1;аи-95;нет;6;4;870000
V (XV30);2002;327369;седан;чёрный;2.4;159;оборудование;автоматическая;передний;левый;не требует ремонта;растаможен;e;4;независимая, пружинная;независимая, пружинная;дисковые;дисковые;205;9.3;аи-92;нет;4;4;555000
V (XV30) Рестайлинг;2005;247000;седан;серый;3.0;186;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;4;независимая, пружинная;независимая, пружинная;дисковые;дисковые;225;9.1;аи-95;нет;6;4;835000
VII (XV50) Рестайлинг 2;2017;170000;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1700000
VII (XV50) Рестайлинг;2016;215000;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;2150000
VII (XV50) Рестайлинг;2015;165902;седан;серый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1700000
VII (XV50);2012;143000;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1800000
VII (XV50) Рестайлинг;2015;220000;седан;серебристый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1500000
VIII (XV70);2019;160000;седан;чёрный;2.0;150;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;6;независимая, пружинная;независимая, пружинная;дисковые;дисковые;210;11.0;аи-95;нет;4;4;1700000
VII (XV50);2014;194000;седан;синий;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1350000
VI (XV40);2006;272000;седан;зелёный;2.4;167;бензин;механическая;передний;левый;не требует ремонта;растаможен;e;5;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.1;аи-95;нет;4;4;600000
VII (XV50);2012;124000;седан;белый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1690000
VII (XV50);2011;200000;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1460000
VI (XV40);2008;275000;седан;чёрный;2.4;167;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;5;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;9.3;аи-95;нет;4;4;799000
IV (XV20);1997;488671;универсал 5 дв.;серый;2.5;200;бензин;автоматическая;передний;правый;не требует ремонта;растаможен;e;4;независимая, пружинная;полунезависимая, пружинная;дисковые вентилируемые;дисковые;220;8.5;аи-95;нет;6;4;460000
VIII (XV70) Рестайлинг;2020;101123;седан;синий;2.5;206;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;8.7;аи-95;нет;4;4;2199000
VIII (XV70);2019;57000;седан;чёрный;2.5;205;бензин;автоматическая;полный;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые;дисковые;;;аи-95;нет;4;4;2600000
VII (XV50) Рестайлинг 2;2017;140000;седан;белый;2.5;181;оборудование;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;2250000
VII (XV50) Рестайлинг;2016;218207;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1620000
VII (XV50) Рестайлинг;2016;107500;седан;серебристый;3.5;249;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;7.1;аи-95;нет;6;4;1990000
V (XV30) Рестайлинг;2005;35000;седан;чёрный;2.4;152;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;4;независимая, пружинная;независимая, пружинная;дисковые;дисковые;200;10.5;аи-95;нет;4;4;1000000
VII (XV50) Рестайлинг;2016;144921;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1750000
VII (XV50);2013;202503;седан;серый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1390000
VI (XV40) Рестайлинг;2009;200000;седан;чёрный;2.4;167;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;5;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;9.3;аи-95;нет;4;4;960000
VII (XV50) Рестайлинг 2;2018;200000;седан;белый;2.5;181;оборудование;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1800000
VII (XV50) Рестайлинг;2014;164390;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1800000
V (XV30);2002;90000;седан;серебристый;2.4;152;бензин;механическая;передний;левый;не требует ремонта;растаможен;e;5;независимая, пружинная;независимая, пружинная;дисковые;дисковые;210;9.4;аи-95;нет;4;4;498000
VIII (XV70) Рестайлинг;2021;150000;седан;чёрный;3.5;249;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;220;7.7;аи-92;нет;6;4;3090000
VII (XV50);2013;180000;седан;белый;2.0;148;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;4;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;190;12.5;аи-95;нет;4;4;1250000
VIII (XV70);2019;92000;седан;белый;2.5;206;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые;дисковые;;9.0;аи-95;нет;4;4;2030000
VIII (XV70);2019;308751;седан;белый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;6;независимая, пружинная;независимая, пружинная;дисковые;дисковые;210;9.9;аи-95;нет;4;4;1620000
VII (XV50);2012;255000;седан;белый;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1200000
VI (XV40);2007;215000;седан;чёрный;2.4;167;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;5;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;205;9.3;аи-95;нет;4;4;850000
VIII (XV70);2020;104000;седан;белый;2.5;203;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;d;8;независимая, пружинная;независимая, пружинная;дисковые;дисковые;;8.5;аи-95;нет;4;4;2300000
VII (XV50) Рестайлинг;2016;148000;седан;чёрный;2.5;181;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;2060000
VII (XV50);2012;167000;седан;серый;2.5;173;бензин;автоматическая;передний;левый;не требует ремонта;растаможен;e;6;независимая, пружинная;независимая, пружинная;дисковые вентилируемые;дисковые;210;9.0;аи-95;нет;4;4;1369000
